# Generated by scripts/generate_inversions.py (PLAN §5.2 pass 2).
# Sense-keyed: one row per (trigger, sense). See senses.py.
trigger	replacement	hard_word	pos	trigger_sense	block_context	require_context	note
avoid	skirt	skirt	VERB	evade dealing with a difficult subject or rule	avoid injury|avoid eating|avoid food|avoid contact|avoid people|avoid alcohol|avoid traffic	issue|question|topic|subject|problem|rules|law|regulations|matter|point|controversy	
avoided	skirted	skirt	VERB	evaded dealing with a difficult subject or rule	avoided injury|avoided eating|avoided food|avoided contact|avoided alcohol|avoided traffic|avoided being	issue|question|topic|subject|problem|rules|law|regulations|matter|point|controversy	
runs around	skirts	skirt	VERB	is situated along the edge of something	runs around the house|kids|children|dog	road|path|track|lake|field|wall|edge|perimeter|village|forest|coast	
slow	sluggish	sluggish	ADJ	moving or operating with little speed or energy	slow cooker|slow-cooked|roast|slow motion|slow lane|slow down|slowly|tempo|learner|slow burn		
slow-moving	sluggish	sluggish	ADJ	moving at a low speed			
listless	sluggish	sluggish	ADJ	lacking energy or alertness			
bare	spartan	spartan	ADJ	without comfort, decoration or furnishings	feet|foot|hands|skin|arms|chest|legs|wire|trees|bare minimum|bare essentials|land|rock|bulb	room|rooms|cell|quarters|apartment|flat|accommodation|interior|furnishings|decor|décor|barracks|dormitory	
basic	spartan	spartan	ADJ	offering only the minimum, without comfort or luxury	basic income|basic rate|basic salary|basic skills|basic training|basic principles|basic idea|basic understanding|basic research|basic needs	accommodation|room|rooms|facilities|conditions|hut|cabin|lodgings|furnishings|amenities	
no-frills	spartan	spartan	ADJ	providing only the essentials, without luxury			
defiant	truculent	truculent	ADJ	boldly resisting authority, aggressively unyielding			
combative	truculent	truculent	ADJ	ready or eager to fight or argue			
aggressive	truculent	truculent	ADJ	hostile and eager to pick a quarrel (of a person's manner)	marketing|sales|tactics|expansion|growth|cancer|tumour|tumor|treatment|therapy|driving|pricing|strategy|campaign	tone|manner|mood|attitude|reply|response|stance|became|turned|drunk|teenager|crowd	
bitter	acrimonious	acrimonious	ADJ	marked by angry resentment between people (of a dispute)	taste|tasted|flavour|flavor|chocolate|almond|lemon|coffee|beer|sweet|cold|wind|winter|medicine|herbs|aftertaste	dispute|divorce|argument|row|feud|battle|split|breakup|break-up|exchange|debate|fight|quarrel|wrangling|proceedings|negotiations|campaign	
heated	acrimonious	acrimonious	ADJ	angry and full of conflict (of an argument or exchange)	pool|seats|water|floor|oven|garage|greenhouse|blanket|towel|rail	argument|debate|exchange|discussion|row|dispute|meeting|words	
nasty	acrimonious	acrimonious	ADJ	unpleasantly hostile and spiteful (of a conflict)	smell|taste|weather|fall|cut|bruise|injury|cold|surprise|habit|piece of work|wound	divorce|dispute|split|battle|fight|campaign|argument|feud|custody|exchange	
hostile	belligerent	belligerent	ADJ	showing aggressive opposition or antagonism	takeover|bid|witness|environment|weather|conditions|terrain|climate		
aggressive	belligerent	belligerent	ADJ	ready to attack or confront; warlike	marketing|sales|tactics|expansion|growth|cancer|tumour|tumor|treatment|therapy|pricing|strategy|targets|investment	stance|posture|tone|behaviour|behavior|drunk|crowd|neighbour|neighbor|regime|state|nation|rhetoric|attitude|became|turned	
warlike	belligerent	belligerent	ADJ	disposed to fight or make war			
generous	beneficent	beneficent	ADJ	kind and giving, doing good to others	portion|serving|helping|slice|glass|measure|salary|pay|budget|discount|offer|pension|package|allowance|terms|interpretation|estimate	donor|benefactor|patron|ruler|god|spirit|act|deeds|soul|nature|heart|towards|to the poor	
kindly	beneficent	beneficent	ADJ	kind and well-meaning in character	kindly note|kindly send|kindly do not|kindly ask|kindly inform|kindly provide	man|woman|face|figure|old|uncle|doctor|gentleman|presence|soul	
good-hearted	beneficent	beneficent	ADJ	kind and generous by nature			
savvy	canny	canny	ADJ	shrewd and well informed	savvy is|tech-savvy	investor|investors|shopper|shoppers|consumer|operator|businessman|businesswoman|buyer|traveller|traveler|politician	
shrewd	canny	canny	ADJ	having sharp judgment, especially in practical matters			
smart	canny	canny	ADJ	showing good practical judgment in a decision or dealing	phone|watch|home|meter|card|casual|TV|speaker|device|technology|smart alec|looked smart|dressed	move|investment|decision|deal|play|operator|businessman|businesswoman|negotiator|buy	
casual	cavalier	cavalier	ADJ	showing little concern or seriousness about something important	clothes|clothing|wear|dress|shirt|shoes|Friday|dining|conversation|chat|acquaintance|sex|labour|labor|worker|workers|job|jobs|staff|glance|stroll|meeting up	attitude|approach|disregard|manner|indifference|attitude towards|way he|way she|treatment	
dismissive	cavalier	cavalier	ADJ	treating something as unworthy of serious consideration			
offhand	cavalier	cavalier	ADJ	ungraciously casual or curt in manner	offhand I|know offhand|remember offhand|say offhand	manner|tone|remark|comment|way|attitude|dismissal	
upset	distressed	distressed	ADJ	deeply unhappy, anxious or disturbed emotionally	stomach|tummy|bowel|cart|apple|win|victory|upset the|upset by the loss to	was|were|felt|seemed|looked|become|became|visibly|deeply|very|extremely|clearly|appeared	
shaken	distressed	distressed	ADJ	emotionally upset and disturbed after an experience	shaken not stirred|shaken well|bottle|cocktail|dust	visibly|badly|was|were|left|deeply|seemed|appeared	
troubled	distressed	distressed	ADJ	showing distress or anxiety	troubled history|troubled past|troubled waters|troubled times|troubled project|troubled bank|troubled company|troubled youth|troubled teen	look|expression|face|voice|seemed|appeared|deeply	
shrinking	dwindling	dwindling	ADJ	steadily becoming smaller in size or number	violet|shrink|clothes|fabric|wash|jeans|sweater|wool|plastic	numbers|population|supply|supplies|reserves|audience|membership|budget|funds|market|share|workforce|stocks|resources|pool	
declining	dwindling	dwindling	ADJ	gradually decreasing in amount or strength	comment|invitation|offer|interview|request|declining to|declined to|noun|verb|grammar	numbers|population|sales|revenue|membership|attendance|supply|reserves|stocks|birth rate|enrolment|enrollment|resources	
dwindled	dwindling	dwindling	VERB	placeholder to keep participle form available	nonexistent-token	nonexistent-token	
overshadow	eclipse	eclipse	VERB	to be more prominent or important than, making the other seem insignificant	shadow of the tree|clouds		
overshadowed	eclipsed	eclipse	VERB	was made to seem insignificant by something greater			
outshine	eclipse	eclipse	VERB	to be much better than and so overshadow			
comprehensive	encyclopedic	encyclopedic	ADJ	covering a subject completely and in great detail	school|insurance|cover|coverage|policy|premium|exam|comprehensive win|victory|defeat	knowledge|survey|account|study|guide|overview|catalogue|catalog|collection|review|history|record|list|database	
vast	encyclopedic	encyclopedic	ADJ	extremely extensive (of a person's knowledge or memory)	majority|amounts|sums|area|areas|land|space|expanse|difference|improvement|desert|ocean|estate|distances|number of people	knowledge|memory|learning|expertise|erudition|recall	
exhaustive	encyclopedic	encyclopedic	ADJ	including all possible details	not exhaustive|non-exhaustive|by no means exhaustive	list|survey|study|account|catalogue|catalog|knowledge|research|review	
harsh	scathing	scathing	ADJ	severely critical, contemptuous (of words, reviews, judgements)	weather|winter|climate|light|sunlight|sound|desert|chemical|chemicals|punishment|conditions|reality|soap	criticism|critique|review|attack|comments|remarks|words|assessment|judgement|judgment|verdict	
brutal	scathing	scathing	ADJ	harshly critical in expression	murder|killing|attack|violence|assault|war|regime|dictator|force|beating|winter|honesty|truth|efficiency	review|criticism|critique|assessment|comments|remarks|takedown	
cutting	scathing	scathing	ADJ	hurtfully sarcastic or scornful (of a remark)	knife|blade|board|edge|hair|paper|costs|cost|tax|taxes|tree|grass|wood|rate|rates|jobs|spending	remark|remarks|comment|comments|reply|retort|wit	
slight	subtle	subtle	ADJ	small and not easy to detect	injury|insult|offence|offense|limp|chance|hope|fever|build|frame|risk|delay|decline|increase|rise|fall	difference|differences|change|changes|shift|hint|variation|variations|smile|flavour|flavor|distinction	
delicate	subtle	subtle	ADJ	finely and pleasingly complex (of flavour, scent, shading)	health|skin|glass|china|porcelain|surgery|operation|bones|situation|negotiations|balance|condition|fragile|baby|touch|matter	flavour|flavor|flavours|flavors|aroma|scent|taste|shades|notes|hint|tones	
shallow	superficial	superficial	ADJ	lacking depth or thoroughness (of thought, analysis, a person)	water|waters|pool|river|sea|lake|stream|depth|end|breathing|breaths|breath|dish|pan|bowl|grave|roots|soil|draft|reef		
quick	superficial	superficial	ADJ	done hastily and without thoroughness	run|runner|fast|speed|reflexes|temper|fix|meal|lunch|learner|wit|death|recovery|response|reply	glance|look|scan|reading|survey|overview|examination|skim|once-over	
agreed	acquiesced	acquiesce	VERB	consented reluctantly, without protest	contract|price|fee|salary|ceasefire|treaty|statement|unanimously|enthusiastically	reluctantly|grudgingly|eventually|finally|pressure|demands|demand|insisted|protest	
gave in	acquiesced	acquiesce	VERB	yielded to pressure and stopped resisting	homework|assignment|essay|notice|resignation|paper|form		
go along with	acquiesce in	acquiesce	VERB	accept a decision or plan without objecting		reluctantly|decision|plan|demands|pressure|scheme	
skillful	adroit	adroit	ADJ	showing cleverness and dexterity	labor|labour|workers|workforce|shortage|trades|immigration		
skilful	adroit	adroit	ADJ	showing cleverness and dexterity	labour|workers|workforce|shortage|trades		
clever	adroit	adroit	ADJ	skilful in handling a situation	joke|pun|gadget|invention|idea|student|dog|trick|name|title	handling|manoeuvre|maneuver|footwork|diplomacy|negotiator|politician|management|manipulation|use	
change	amend	amend	VERB	alter a text, law or agreement by minor revision	clothes|diaper|nappy|tyre|tire|oil|train|subject|mind|channel|money|currency|light bulb	law|laws|bill|constitution|legislation|statute|act|treaty|rules|rule|policy|clause|contract|charter|wording|text	
changed	amended	amend	VERB	altered a text, law or agreement by minor revision	clothes|mind|subject|channel|trains|tyre|tire|oil|diaper|nappy	law|laws|bill|constitution|legislation|statute|act|treaty|rules|rule|policy|clause|contract|charter|wording|text	
revise	amend	amend	VERB	alter or correct a written text or rule	exam|exams|test|revision|study|studying|syllabus	law|bill|rules|document|text|policy|constitution|guidelines|estimate|forecast|clause	
hostility	animus	animus	NOUN	personal ill feeling toward someone	hostilities|war|troops|invasion|forces|enemy|battlefield|ceasefire		
ill will	animus	animus	NOUN	hostile feeling, malice			
bad blood	animus	animus	NOUN	lingering hostility between people	transfusion|donor|sample|test|cells|pressure		
defender	apologist	apologist	NOUN	one who argues in defence of a controversial doctrine or regime	goal|goalkeeper|team|soccer|football|match|title|champion|court|sword|castle	regime|dictatorship|dictator|colonialism|slavery|ideology|communism|fascism|policy|practices|atrocities|empire	
defenders	apologists	apologist	NOUN	those who argue in defence of a controversial doctrine or regime	goal|team|soccer|football|match|title|castle|city walls|garrison	regime|dictatorship|colonialism|slavery|ideology|communism|fascism|policy|practices|atrocities|empire	
sharp	astringent	astringent	ADJ	severe and biting in manner or style	knife|blade|edge|point|needle|turn|bend|corner|pain|rise|increase|drop|fall|decline|eyesight|image|cheese|object|teeth|claws	wit|tone|prose|style|humour|humor|critique|commentary|satire|voice	
severe	astringent	astringent	ADJ	austere and unsparing in manner or style	weather|storm|winter|drought|injury|pain|illness|disability|damage|shortage|penalty|flooding|case|cases|symptoms|depression|asthma	tone|manner|style|prose|wit|criticism|judgement|judgment|commentary	
work together	collaborate	collaborate	VERB	work jointly on a project			
worked together	collaborated	collaborate	VERB	worked jointly on a project			
working together	collaborating	collaborate	VERB	working jointly on a project			
capable	competent	competent	ADJ	having the skill to do a job efficiently	of|able		
efficient	competent	competent	ADJ	working well and capably (of a person or staff)	engine|fuel|energy|cost|costs|market|markets|allocation|machine|machines|system|process|production|heating|appliance|algorithm	secretary|manager|staff|assistant|nurse|clerk|administrator|teacher|worker|team|doctor|employee	
correspond	correlate	correlate	VERB	match or be closely connected with something	letter|letters|wrote|writing|email|mail|postcard|pen pal		
corresponds	correlates	correlate	VERB	matches or is closely connected with something	letter|letters|wrote|email|mail		
linked	correlated	correlate	VERB	statistically associated with something	chain|arms|hands|website|page|url|hyperlink	study|studies|data|research|statistically|survey|scores|variables|results|strongly|closely|positively|negatively	
mocked	derided	deride	VERB	ridiculed, laughed at scornfully	exam|trial|interview|test|draft|election|turtleneck		
mock	deride	deride	VERB	ridicule, laugh at scornfully	exam|exams|trial|interview|test|draft|election|turtleneck|tudor		
made fun of	derided	deride	VERB	ridiculed someone or something			
demands	dictates	dictate	NOUN	imperative requirements that must be obeyed	ransom|strike|union|protesters|kidnappers|ultimatum|refused|met their	fashion|conscience|market|society|reason|morality|etiquette|ideology|party|faith|politeness	
commands	dictates	dictate	NOUN	orders that must be obeyed	computer|terminal|keyboard|voice|software|prompt|shell|menu|dog	obey|obeyed|obeying|followed|following|superior|conscience	
careful	discreet	discreet	ADJ	cautious about revealing private information	accident|danger|injury|driving|ladder|knife|measurement|analysis|planning|stairs|hot|fragile	secret|secrets|confidential|private|privacy|gossip|affair|discretion|reveal|revealing|mention|mentioning	
tactful	discreet	discreet	ADJ	careful not to reveal or offend			
quiet	discreet	discreet	ADJ	unobtrusive, done without attracting attention	room|street|night|voice|music|noise|engine|neighbourhood|neighborhood|village|library|please|baby|sleep	word|inquiries|enquiries|chat|conversation|arrangement|warning|approach|backing	
offense	umbrage	umbrage	NOUN	annoyance or resentment at a perceived slight, as in 'take offense'	crime|criminal|felony|misdemeanor|penalty|law|charged|convicted|defense|touchdown|yards|quarterback|team|scoring|coordinator	take|takes|took|taking|taken|gave|give|cause|no	
offence	umbrage	umbrage	NOUN	annoyance or resentment at a perceived slight (British spelling), as in 'take offence'	crime|criminal|statute|law|charged|convicted|penalty|prosecution|sentence|arrest	take|takes|took|taking|taken|gave|give|cause|no	
adaptable	versatile	versatile	ADJ	able to serve many functions or handle many roles			
flexible	versatile	versatile	ADJ	able to be used for many purposes or to fill many roles (of a person, tool or system)	hours|schedule|scheduling|hose|rubber|plastic|bend|bends|bending|tube|joint|spine|stretch|deadline|working	player|musician|actor|tool|machine|ingredient|performer|athlete|fabric|material|design|skill|skills	
all-purpose	versatile	versatile	ADJ	suitable for many different uses	flour		
unruly	wayward	wayward	ADJ	difficult to control or discipline because of willful behaviour	hair|curls|eyebrows		
disobedient	wayward	wayward	ADJ	refusing to obey, willfully hard to control			
rebellious	wayward	wayward	ADJ	resisting authority or control in a willful way	troops|army|forces|province|militia|fighters|soldiers|uprising	son|daughter|child|children|teenager|teen|youth|student|students|pupil|behaviour|behavior	
drive away	alienate	alienate	VERB	cause people to become estranged or withdraw their support	car|truck|road|highway|driveway|garage|vehicle|parked|miles	voters|supporters|customers|readers|fans|members|allies|audience|friends|colleagues	
isolate	alienate	alienate	VERB	make a person feel cut off from others emotionally or socially	virus|bacteria|sample|gene|protein|compound|cells|strain|quarantine|variable|specimen|lab|laboratory	him|her|them|people|students|child|children|workers|community|feel|feels|further	
put off	alienate	alienate	VERB	cause someone to lose sympathy or interest, repel	until|postponed|postpone|meeting|date|appointment|tomorrow|week|deadline|later	voters|readers|customers|fans|audience|supporters|tone|manner	
indifference	apathy	apathy	NOUN	lack of interest, concern or enthusiasm	chemical|reaction|curve|economics|difference		
lack of interest	apathy	apathy	NOUN	absence of enthusiasm or concern	rates|rate|loan|mortgage|payments|bank|conflict|stake		
fitting	apropos	apropos	ADJ	very appropriate to the situation or moment	room|rooms|pipe|pipes|dress|suit|tailor|gym|exercise|valve|bathroom|kitchen|installed	remark|comment|tribute|moment|occasion|name|title|end|ending|quotation|seems|seemed|how|especially|particularly	
timely	apropos	apropos	ADJ	well suited to the present moment or situation	manner|payment|payments|delivery|filed|deadline|notice	remark|comment|reminder|observation|question|topic|warning|seems|seemed	
suitable	apt	apt	ADJ	appropriate in the circumstances	candidate|vacancy|applicants|housing|accommodation|tenant|land|site|dietary	description|name|title|comparison|phrase|word|term|metaphor|summary|analogy|label|example|choice	
fitting	apt	apt	ADJ	appropriate to the circumstances	room|rooms|pipe|pipes|dress|tailor|gym|valve|installed|bathroom	description|name|title|tribute|comparison|phrase|word|end|ending|metaphor|seems|seemed	
quick to learn	apt	apt	ADJ	having a natural talent for learning			
agreement	consensus	consensus	NOUN	general shared opinion among a group	signed|sign|signing|contract|treaty|deal|clause|terms|breach|license|licence|lease|parties|ratified|trade|peace|settlement|subject-verb	general|broad|widespread|among|growing|scientific|emerging|reached|little|no|wide	
general agreement	consensus	consensus	NOUN	broadly shared opinion	signed|contract|treaty|clause|parties		
twist	distort	distort	VERB	give a misleading version of something	ankle|wrist|knee|cap|lid|wire|rope|dance|plot|hair|off|bottle|knob	facts|fact|truth|words|meaning|story|account|evidence|statement|quote|reality|history	
twisted	distorted	distort	VERB	gave a misleading version of something	ankle|wrist|knee|lid|wire|rope|hair|around|metal|plot	facts|truth|words|meaning|story|account|evidence|statement|quote|reality|history	
misrepresent	distort	distort	VERB	give a false or misleading account of			
differing	divergent	divergent	ADJ	not the same, developing in different directions			
conflicting	divergent	divergent	ADJ	at odds with one another, pointing in different directions	armed|war|warfare|military|troops|ceasefire|battle	views|opinions|accounts|interests|aims|goals|interpretations|results|findings|paths|approaches|priorities	
contrasting	divergent	divergent	ADJ	strikingly different from each other	colours|colors|color|colour|fabric|paint|trim|stitching|texture	views|opinions|approaches|styles|accounts|interests|paths|outcomes|trends|fortunes	
thrilled	elated	elated	ADJ	extremely pleased and joyful			
overjoyed	elated	elated	ADJ	filled with great joy			
delighted	elated	elated	ADJ	feeling great pleasure and happiness	pleased to|delighted to announce|invite|welcome	felt|was|were|seemed|looked|absolutely|utterly	
charm	enchant	enchant	VERB	delight and captivate someone	bracelet|necklace|pendant|lucky|snake|offensive|charms|third	audience|audiences|readers|viewers|visitors|crowd|listeners|guests|fans	
charmed	enchanted	enchant	VERB	delighted and captivated someone	bracelet|necklace|lucky|life|snake|circle	audience|audiences|readers|viewers|visitors|crowd|listeners|guests|critics	
delight	enchant	enchant	VERB	fill someone with great pleasure	turkish|much to|took|takes|taking	audience|audiences|readers|children|visitors|fans|crowd|guests|viewers	
ingrained	entrenched	entrenched	ADJ	firmly fixed and hard to change (of habits, attitudes, systems)	dirt|grime|wood|grain|stain		
deep-rooted	entrenched	entrenched	ADJ	firmly established and difficult to change	tree|trees|plant|shrub|soil|weeds		
well-established	entrenched	entrenched	ADJ	long-standing and firmly fixed, resistant to change	brand|company|firm|business|restaurant|practice of medicine	interests|hierarchy|elite|attitudes|beliefs|system|power|habits|norms|inequality|corruption	
foreign	exotic	exotic	ADJ	from a distant, unfamiliar country and therefore strikingly unusual	policy|minister|ministry|affairs|secretary|currency|exchange|national|embassy|language|student|students|investment|body|objects|aid|born|legion|debt	fruit|fruits|spices|spice|plants|plant|flowers|birds|animals|food|foods|dishes|cuisine|destination|destinations|lands|locales|shores|beaches	
unusual	exotic	exotic	ADJ	strikingly unfamiliar, of a far-off foreign character	circumstances|behaviour|behavior|silence|suspicious|condition|symptom|activity	fruit|spices|plants|flowers|birds|animals|pets|food|foods|dishes|cuisine|ingredients|destination|locations	
unfair	exploitative	exploitative	ADJ	taking unjust advantage of others for gain	dismissal|advantage|trial|referee|offside|tax|competition law	labour|labor|workers|worker|wages|employers|employer|practices|conditions|contracts|landlords|lenders|factory|sweatshop	
abusive	exploitative	exploitative	ADJ	treating people unfairly for advantage (of practices or systems)	language|husband|wife|partner|father|mother|verbally|insults|shouting|relationship|alcohol|drug	labour|labor|practices|working conditions|employers|workers|wages|system|contracts|industry	
predatory	exploitative	exploitative	ADJ	exploiting others for one's own gain	animal|animals|bird|birds|fish|insects|mammals|species|prey|hunting	lending|loans|lenders|pricing|practices|fees|landlords|companies|behaviour|behavior	
innocent	naive	naive	ADJ	lacking worldly experience; trusting and unsuspecting	guilty|verdict|court|trial|crime|charges|jury|convicted|proven|accused|bystander|victims		
inexperienced	naive	naive	ADJ	lacking experience, unseasoned in a way that shows in judgement			
gullible	naive	naive	ADJ	easily fooled through inexperience			
narrow-minded	parochial	parochial	ADJ	limited or intolerant in outlook			
small-minded	parochial	parochial	ADJ	petty and limited in outlook			
insular	parochial	parochial	ADJ	inward-looking, uninterested in outside ideas	island|islands|coastal|peninsula		
dull	pedestrian	pedestrian	ADJ	uninteresting, lacking excitement (of prose, work, performance)	blade|knife|knives|scissors|edge|pain|ache|throbbing|thud|sky|weather|grey|gray|colour|color|sheen|sharpen		
boring	pedestrian	pedestrian	ADJ	tedious, unexciting	drill|drilling|hole|holes|tunnel|machine|bore|wood|rock		
unremarkable	pedestrian	pedestrian	ADJ	ordinary and uninspiring	scan|x-ray|examination|exam|vitals|findings		
beat around the bush	prevaricate	prevaricate	VERB	avoid speaking directly or answering plainly			
dodge the question	prevaricate	prevaricate	VERB	evade answering directly			
hedged	prevaricated	prevaricate	VERB	spoke evasively, avoided committing to an answer	fund|funds|bet|bets|risk|currency|portfolio|garden|hedges|row		
sweeping	radical	radical	ADJ	far-reaching and thorough (of changes, reforms)	broom|floor|floors|brush|leaves|dust|chimney|curve|staircase|view|vista|gesture		
drastic	radical	radical	ADJ	extreme and far-reaching in effect			
revolutionary	radical	radical	ADJ	involving complete or dramatic change	war|army|guard|France|French|Russia|Cuba|troops|regime|1789|1917		
recurrence	recrudescence	recrudescence	NOUN	the return of an unwanted condition such as a disease or violence	decimal|dream|theme|motif		
flare-up	recrudescence	recrudescence	NOUN	a renewed outbreak of illness, conflict or trouble	sun|solar|match|gas|flame		
resurgence	recrudescence	recrudescence	NOUN	a fresh outbreak of something undesirable	popularity|interest|demand|economy|growth|sales|revival	violence|disease|infection|epidemic|cases|outbreak|fighting|extremism|racism|cholera|measles|fever	
worldly	temporal	temporal	ADJ	concerned with earthly rather than spiritual affairs	wise|sophisticated|experienced|travelled|traveled|charm|manners	spiritual|church|clergy|religious|divine|soul|eternal|pope|bishop|faith|heaven|god	
earthly	temporal	temporal	ADJ	of this world as opposed to the divine	idea|chance|reason|use|possessions?	spiritual|divine|heaven|soul|eternal|church|god|salvation	
secular	temporal	temporal	ADJ	not religious; belonging to the civil rather than spiritual sphere	stagnation|trend|bull|bear|market		
temporary	transitory	transitory	ADJ	lasting only a short time, not permanent (of states, feelings, conditions)	job|jobs|staff|worker|workers|employee|contract|position|housing|shelter|visa|permit|fix|repair|tattoo|filling|injunction|restraining		
fleeting	transitory	transitory	ADJ	lasting only a moment			
short-lived	transitory	transitory	ADJ	not lasting long			
workable	viable	viable	ADJ	capable of working successfully; practicable	clay|dough|metal|material		
feasible	viable	viable	ADJ	possible to do successfully			
practical	viable	viable	ADJ	likely to succeed or be effective in practice (of a plan or option)	joke|skills|experience|nurse|exam|training|lessons|clothes|shoes|hands-on|advice|tips	option|options|alternative|plan|solution|approach|proposal|strategy|route	
side by side	abreast	abreast	ADV	positioned next to one another, facing the same way	compare|comparison|coexist|lived|exist		
two by two	two abreast	abreast	ADV	moving in pairs alongside each other	ark|Noah	walked|marched|riding|rode|cycling|rows|column|formation	
baffled	confounded	confound	VERB	puzzled or bewildered someone			
puzzled	confounded	confound	VERB	caused perplexity in someone	look|expression|frown|face|voice|glance		
baffle	confound	confound	VERB	to bewilder or defeat the expectations of	plate|chamber|exhaust|speaker|noise		
tangent	digression	digression	NOUN	a departure from the main topic in speech or writing	circle|curve|geometry|angle|cosine|sine|graph|radius		
detour	digression	digression	NOUN	a temporary departure from the main subject	road|roads|traffic|route|highway|drive|driving|bridge|construction|signs|miles|km	chapter|story|argument|essay|narrative|topic|subject|discussion|lecture|point	
aside	digression	digression	NOUN	a brief remark departing from the main subject		brief|long|little|lengthy|personal	
inconsistency	discrepancy	discrepancy	NOUN	a lack of agreement between statements or figures	performance|form|player|team|season		
mismatch	discrepancy	discrepancy	NOUN	a failure of two things to correspond	game|fight|bout|contest|team|teams|opponent		
difference	discrepancy	discrepancy	NOUN	an unexpected inconsistency between figures or accounts	make|makes|made|cultural|opinion|opinions|age|time zone|tastes|split|between us|world of	figures|numbers|accounts|records|data|totals|reports|versions|statements|invoice|balance|count	
two-faced	duplicitous	duplicitous	ADJ	deceitful, saying different things to different people	coin|clock|card|mask		
deceitful	duplicitous	duplicitous	ADJ	given to lying and deception			
dishonest	duplicitous	duplicitous	ADJ	deceitful in dealings with others			
convenient	expedient	expedient	ADJ	advantageous to do, though not necessarily right or principled	location|store|shop|parking|nearby|walk|access|size|times|travel|transport|package|snack|pocket	politically|morally|ethically|principle|principles|truth|seemed|deemed|found it|expedience	
practical	expedient	expedient	ADJ	the convenient course of action rather than the principled one	joke|skills|experience|nurse|exam|training|lessons|clothes|shoes|hands-on	politically|morally|ethically|principle|compromise	
minor fault	peccadillo	peccadillo	NOUN	a small, forgivable moral lapse or shortcoming	engine|earthquake|geological|fault line|circuit|tennis|electrical		
minor sin	peccadillo	peccadillo	NOUN	a slight moral offence			
small sins	peccadilloes	peccadillo	NOUN	slight moral offences (plural)			
uncultured	philistine	philistine	ADJ	indifferent or hostile to art and learning	bacteria|cells|soil|pearl|yogurt|laboratory		
lowbrow	philistine	philistine	ADJ	scornful of or indifferent to high culture			
boor	philistine	philistine	NOUN	a person indifferent to culture and the arts	boar|hunting|tusks	art|music|culture|books|theatre|theater|poetry|museum	
demote	relegate	relegate	VERB	assign to a lower rank or position			
demoted	relegated	relegate	VERB	assigned to a lower rank or position			
downgraded	relegated	relegate	VERB	moved to a lower rank or lesser status	hurricane|storm|tropical|software|upgrade|version|ticket|credit rating		
disgusting	repugnant	repugnant	ADJ	morally offensive, unacceptable	taste|tasted|smell|smelled|odor|odour|food|meal|kitchen|toilet|slime|flavour|flavor		
distasteful	repugnant	repugnant	ADJ	offensive to one's moral sense	taste|flavour|flavor|palate		
appalling	repugnant	repugnant	ADJ	utterly unacceptable, morally offensive	weather|spelling|traffic		
sappy	sentimental	sentimental	ADJ	excessively tender or nostalgic in feeling	tree|maple|syrup|bark|sap		
mushy	sentimental	sentimental	ADJ	mawkishly tender or emotional	peas|potatoes|food|texture|cooked|overcooked|banana|ground|mud		
nostalgic	sentimental	sentimental	ADJ	moved by fond memories of the past			
waste	squander	squander	VERB	to use up recklessly or pointlessly	nuclear|toxic|landfill|recycling|garbage|sewage|disposal|waste products|hazardous		
wasted	squandered	squander	VERB	used up recklessly or pointlessly	nuclear|toxic|landfill|recycling|garbage|sewage|drunk|hazardous		
wasting	squandering	squander	VERB	using up recklessly or pointlessly	disease|muscle|away|nuclear|toxic|landfill|recycling		
cheated	swindled	swindle	VERB	deprived someone of money by deception	exam|test|homework|wife|husband|girlfriend|boyfriend|spouse|diet|game|cards|affair	money|investors|customers|funds|cash|savings|clients|out of	
scammed	swindled	swindle	VERB	defrauded of money or property			
scam	swindle	swindle	NOUN	a fraudulent scheme to take people's money			
concrete	tangible	tangible	ADJ	definite, real and clearly perceptible	cement|slab|mixer|pour|poured|floor|wall|block|pavement|sidewalk|foundation|reinforced		
physical	tangible	tangible	ADJ	having material existence, able to be touched	exercise|fitness|therapy|education|body|bodily|health|examination|laws|chemistry|attraction|violence		
wickedness	turpitude	turpitude	NOUN	depraved or immoral character and conduct			
immorality	turpitude	turpitude	NOUN	depraved behaviour or character			
depravity	turpitude	turpitude	NOUN	moral corruption			
pure	unalloyed	unalloyed	ADJ	complete and unreserved (of a feeling)	water|gold|metal|silver|copper|steel|air|cotton|wool|chemical|alcohol|breed|juice	joy|delight|pleasure|happiness|bliss|triumph|relief|admiration	
sheer	unalloyed	unalloyed	ADJ	nothing other than, unmixed (of a feeling)	cliff|drop|curtains|fabric|stockings|tights|size|volume|number|weight	joy|delight|pleasure|happiness|bliss|relief|terror	
undersell	undercut	undercut	VERB	to sell more cheaply than a competitor			
undersold	undercut	undercut	VERB	sold more cheaply than a competitor			
outprice	undercut	undercut	VERB	beat a rival on price			
coax	wheedle	wheedle	VERB	persuade by flattery or gentle urging	cable|coaxial|connector|antenna|fire|flames		
coaxed	wheedled	wheedle	VERB	persuaded by flattery or gentle urging	cable|coaxial|connector|antenna|fire|flames		
sweet-talk	wheedle	wheedle	VERB	persuade with flattery			
anti-immigrant	xenophobic	xenophobic	ADJ	hostile to people from other countries			
anti-foreigner	xenophobic	xenophobic	ADJ	hostile to foreigners			
unflappable	imperturbable	imperturbable	ADJ	never becoming agitated or upset			
